batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
P_BGI_L3_B1,D5/D6,Salmon,SO,0.89224116445377,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,Salmon,SO,0.831581009556515,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,Salmon,SO,0.827604557809251,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,Salmon,SO,0.846318612262854,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,Salmon,SO,0.919922977325444,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,Salmon,SO,0.756330721392839,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,Salmon,SO,0.917542387511138,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,Salmon,SO,0.897713502316327,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,Salmon,SO,0.815845766939793,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,Salmon,SO,0.909000089868759,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,Salmon,SO,0.838865273129322,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,Salmon,SO,0.832359410768496,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,Salmon,SO,0.819369285965358,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,Salmon,SO,0.712868231335468,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,Salmon,SO,0.776722743090431,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,Salmon,SO,0.850020870300741,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,Salmon,SO,0.846770475259334,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,Salmon,SO,0.821597279982057,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,Salmon,SO,0.904962116118128,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,Salmon,SO,0.842185999849432,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,Salmon,SO,0.827706909021467,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,Salmon,SO,0.910276418036402,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,Salmon,SO,0.822843072681193,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,Salmon,SO,0.775095899788586,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,Salmon,SO,0.854910614621942,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,Salmon,SO,0.772146202661774,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,Salmon,SO,0.727140286983296,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,Salmon,SO,0.767656337859066,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,Salmon,SO,0.767215997523592,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,Salmon,SO,0.696620777587158,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,Salmon,SO,0.828375102532431,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,Salmon,SO,0.790658341027143,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,Salmon,SO,0.784366450903339,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,Salmon,SO,0.812590526477085,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,Salmon,SO,0.742945456341783,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,Salmon,SO,0.780203376522283,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,Salmon,SO,0.764179832476755,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,Salmon,SO,0.731682986799785,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,Salmon,SO,0.712485838213432,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,Salmon,SO,0.870148757410881,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,Salmon,SO,0.84694107203233,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,Salmon,SO,0.752364904395502,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,Salmon,SO,0.787688989395699,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,Salmon,SO,0.706347055380617,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,Salmon,SO,0.716012926940275,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,Salmon,SO,0.85884501677231,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,Salmon,SO,0.843467915062455,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,Salmon,SO,0.830877190289354,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,Salmon,SO,0.90654643987098,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,Salmon,SO,0.823393497447249,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,Salmon,SO,0.814072527697332,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,Salmon,SO,0.829995064494533,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,Salmon,SO,0.802775120593713,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,Salmon,SO,0.793615497012791,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,Salmon,SO,0.834150197171221,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,Salmon,SO,0.80312497034422,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,Salmon,SO,0.793110846546477,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,Salmon,SO,0.668864351955329,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,Salmon,SO,0.598515260423718,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,Salmon,SO,0.645768023695411,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,Salmon,SO,0.825907875531117,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,Salmon,SO,0.737049501433294,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,Salmon,SO,0.738768080550182,RC,R_ILM,L6,isoform
