batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
P_BGI_L3_B1,D5/D6,Salmon,SO,0.89470788988772,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,Salmon,SO,0.832918371603078,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,Salmon,SO,0.8280323230953,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,Salmon,SO,0.84761017820161,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,Salmon,SO,0.920600780985847,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,Salmon,SO,0.757900582490069,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,Salmon,SO,0.92195275481274,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,Salmon,SO,0.904889923193471,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,Salmon,SO,0.822695903783632,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,Salmon,SO,0.909647359215139,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,Salmon,SO,0.847516407587728,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,Salmon,SO,0.833159146581495,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,Salmon,SO,0.822291017977971,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,Salmon,SO,0.718790121463223,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,Salmon,SO,0.780162371543837,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,Salmon,SO,0.857522083718536,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,Salmon,SO,0.847729277634487,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,Salmon,SO,0.823510659534322,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,Salmon,SO,0.926126454100311,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,Salmon,SO,0.841946989074943,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,Salmon,SO,0.828815860059488,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,Salmon,SO,0.915166329459517,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,Salmon,SO,0.824849133671381,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,Salmon,SO,0.778525448614722,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,Salmon,SO,0.850735721070071,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,Salmon,SO,0.774347914172237,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,Salmon,SO,0.727432512126857,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,Salmon,SO,0.782829567601787,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,Salmon,SO,0.786181807800681,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,Salmon,SO,0.703501887465731,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,Salmon,SO,0.837854026817501,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,Salmon,SO,0.807171949510817,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,Salmon,SO,0.799541358457393,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,Salmon,SO,0.836222821876337,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,Salmon,SO,0.741096764779259,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,Salmon,SO,0.780415658302777,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,Salmon,SO,0.784673715144538,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,Salmon,SO,0.744564791743166,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,Salmon,SO,0.71402703810783,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,Salmon,SO,0.862163515021022,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,Salmon,SO,0.85023438492995,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,Salmon,SO,0.758621536668239,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,Salmon,SO,0.815923952154753,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,Salmon,SO,0.720836367021154,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,Salmon,SO,0.722795049419901,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,Salmon,SO,0.868916906056417,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,Salmon,SO,0.850663786204518,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,Salmon,SO,0.83126342148317,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,Salmon,SO,0.898327500041597,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,Salmon,SO,0.826570005220165,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,Salmon,SO,0.827697063180099,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,Salmon,SO,0.849672567664152,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,Salmon,SO,0.838594111370961,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,Salmon,SO,0.794736820302359,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,Salmon,SO,0.84187613230688,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,Salmon,SO,0.837376597655237,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,Salmon,SO,0.813155064581457,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,Salmon,SO,0.680525606133057,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,Salmon,SO,0.609058045085058,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,Salmon,SO,0.655811948301797,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,Salmon,SO,0.84669178081979,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,Salmon,SO,0.748380517412163,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,Salmon,SO,0.744887882231193,RC,R_ILM,L6,isoform
R_ILM_L8_B1,D5/D6,Salmon,SO,0.844357312678359,RC,R_ILM,L8,isoform
R_ILM_L8_B1,F7/D6,Salmon,SO,0.780037110491065,RC,R_ILM,L8,isoform
R_ILM_L8_B1,M8/D6,Salmon,SO,0.765312630056893,RC,R_ILM,L8,isoform
P_BGI_L3_B1,D5/D6,RSEM,SO,0.413412561678598,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,RSEM,SO,0.281826182618619,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,RSEM,SO,0.211968254346555,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,RSEM,SO,0.876249105589321,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,RSEM,SO,0.89568028178275,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,RSEM,SO,0.813639391714677,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,RSEM,SO,0.687360086852586,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,RSEM,SO,0.66496336022559,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,RSEM,SO,0.660918953497612,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,RSEM,SO,0.89854777080391,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,RSEM,SO,0.862551230724846,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,RSEM,SO,0.818262398913831,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,RSEM,SO,0.553728375552699,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,RSEM,SO,0.35461469543172,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,RSEM,SO,0.404056862025383,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,RSEM,SO,0.848527135663933,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,RSEM,SO,0.848059262419777,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,RSEM,SO,0.773202718709655,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,RSEM,SO,0.895715944340564,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,RSEM,SO,0.86730067039796,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,RSEM,SO,0.836779714575432,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,RSEM,SO,0.217891564901814,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,RSEM,SO,0.102596397407602,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,RSEM,SO,0.15190672513581,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,RSEM,SO,0.473855866865969,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,RSEM,SO,0.427802588713324,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,RSEM,SO,0.448792246774011,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,RSEM,SO,0.575494919845436,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,RSEM,SO,0.584894018621949,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,RSEM,SO,0.384249726650231,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,RSEM,SO,0.607182121347836,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,RSEM,SO,0.533546439054462,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,RSEM,SO,0.55479561403573,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,RSEM,SO,0.594703636393867,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,RSEM,SO,0.608976549285852,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,RSEM,SO,0.571467768786763,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,RSEM,SO,0.180138144492728,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,RSEM,SO,0.0230336237621209,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,RSEM,SO,0.192528487048799,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,RSEM,SO,0.474778745795569,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,RSEM,SO,0.341411092458731,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,RSEM,SO,0.22723869199506,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,RSEM,SO,0.837648862561763,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,RSEM,SO,0.781218527006279,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,RSEM,SO,0.740569692815853,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,RSEM,SO,0.88464127640532,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,RSEM,SO,0.850301620062202,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,RSEM,SO,0.853026043965787,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,RSEM,SO,0.518618010515776,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,RSEM,SO,0.409733579627657,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,RSEM,SO,0.518770075176921,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,RSEM,SO,0.0630229832331151,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,RSEM,SO,0.0540467804635628,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,RSEM,SO,0.0417580536803058,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,RSEM,SO,0.267757313280091,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,RSEM,SO,0.130501405715872,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,RSEM,SO,0.128761927934164,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,RSEM,SO,0.574240366300842,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,RSEM,SO,0.538192883623567,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,RSEM,SO,0.551807875021887,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,RSEM,SO,0.537797221100785,RC,R_ILM,L6,isoform
